Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Mobilizing records: re-framing archival description to support human rights,Archival Science,,14,3 - 4,10.1007/s10502-014-9233-1,Stacy WoodKathy CarboneMarika CiforAnne GillilandRicardo Punzalan,2014,http://link.springer.com/article/10.1007/s10502-014-9233-1,Article
"The Bologna reform at the department of library and information science and book studies, university of Ljubljana",Information Retrieval,,12,2,10.1007/s10791-008-9077-5,Polona VilarMaja Žumer,2009,http://link.springer.com/article/10.1007/s10791-008-9077-5,Article
How can we learn leadership? The vision of the Europe-wide University,AI & SOCIETY,,,,10.1007/s00146-015-0616-5,Natalia KobzaTorben SchaeferRobert GlawarDietrich Brandt,2015,http://link.springer.com/article/10.1007/s00146-015-0616-5,Article
Clustering daily patterns of human activities in the city,Data Mining and Knowledge Discovery,,25,3,10.1007/s10618-012-0264-z,Shan JiangJoseph FerreiraMarta C. González,2012,http://link.springer.com/article/10.1007/s10618-012-0264-z,Article
Simulating protection rackets: a case study of the Sicilian Mafia,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-016-9330-z,Luis G. NardinGiulia AndrighettoRosaria ConteÁron SzékelyDavid AnzolaCorinna ElsenbroichUlf LotzmannMartin NeumannValentina PunzoKlaus G. Troitzsch,2016,http://link.springer.com/article/10.1007/s10458-016-9330-z,Article
OVE Nachrichten,e & i Elektrotechnik und Informationstechnik,,126,4,10.1007/s00502-009-0634-4,,2009,http://link.springer.com/article/10.1007/s00502-009-0634-4,Article
Articulating a right to the Web for persons with cognitive disabilities,Universal Access in the Information Society,,,,10.1007/s10209-015-0432-1,G. Anthony Giannoumis,2015,http://link.springer.com/article/10.1007/s10209-015-0432-1,Article
Rethinking disability in Amartya Sen’s approach: ICT and equality of opportunity,Ethics and Information Technology,,13,2,10.1007/s10676-010-9254-2,Mario Toboso,2011,http://link.springer.com/article/10.1007/s10676-010-9254-2,Article
"Danièle Bourcier, Pompeu Casanovas, Mélanie Dulong de Rosnay, Catharina Maracke (eds.): Intelligent multimedia. Managing creative works in a digital world",Artificial Intelligence and Law,,19,4,10.1007/s10506-011-9111-6,Meritxell Fernández-Barrera,2011,http://link.springer.com/article/10.1007/s10506-011-9111-6,Article
Natural security: how biological systems use information to adapt in an unpredictable world,Security Informatics,,1,1,10.1186/2190-8532-1-14,Raphael D SagarinTerence Taylor,2012,http://link.springer.com/article/10.1186/2190-8532-1-14,Article
Assessment of the availability of near-real time open weather data provided by networks of surface stations in Spain,Earth Science Informatics,,6,3,10.1007/s12145-013-0120-8,Federico-Vladimir Gutierrez-CoreaMiguel-Angel Manso-CallejoAntonio Vázquez-Hoehne,2013,http://link.springer.com/article/10.1007/s12145-013-0120-8,Article
Scientific knowledge and digital democracy in Brazil: how to assess public health policy debate with applied Scientometrics,Scientometrics,,83,3,10.1007/s11192-009-0125-8,Maria Cristina Piumbato Innocentini HayashiDanilo RothbergCarlos Roberto Massao Hayashi,2010,http://link.springer.com/article/10.1007/s11192-009-0125-8,Article
Assessment of public private partnership models for mass rail transit—an influence diagram approach,Public Transport,,2,1 - 2,10.1007/s12469-010-0023-8,S. TangHong K. Lo,2010,http://link.springer.com/article/10.1007/s12469-010-0023-8,Article
Quality circles and human rights: tackling the universalism and cultural relativism divide,AI & SOCIETY,,27,3,10.1007/s00146-012-0379-1,Paresh Kathrani,2012,http://link.springer.com/article/10.1007/s00146-012-0379-1,Article
Engineers and the other: the role of narrative ethics,AI & SOCIETY,,,,10.1007/s00146-015-0594-7,M. A. Hersh,2015,http://link.springer.com/article/10.1007/s00146-015-0594-7,Article
Adaptive autonomous underwater vehicles for littoral surveillance,Intelligent Service Robotics,,4,4,10.1007/s11370-011-0097-4,Stephanie KemnaMichael J. HamiltonDavid T. HughesKevin D. LePage,2011,http://link.springer.com/article/10.1007/s11370-011-0097-4,Article
"SubTitleMe, subtitles in cinemas in mobile devices",Universal Access in the Information Society,,,,10.1007/s10209-015-0420-5,Enrique Costa-MontenegroFátima M. García-DovalJonathan Juncal-MartínezBelén Barragáns-Martínez,2015,http://link.springer.com/article/10.1007/s10209-015-0420-5,Article
LP models for pricing diffuse nitrate discharge permits,Annals of Operations Research,,220,1,10.1007/s10479-011-0941-0,R. A. Ranga PrabodanieJohn F. RaffenspergerE. Grant ReadMark W. Milke,2014,http://link.springer.com/article/10.1007/s10479-011-0941-0,Article
Electrical Grid and Supercomputing Centers: An Investigative Analysis of Emerging Opportunities and Challenges,Informatik-Spektrum,,38,2,10.1007/s00287-014-0850-0,Natalie BatesGirish GhatikarGhaleb AbdullaGregory A. KoenigSridutt BhalachandraMehdi SheikhalishahiTapasya PatkiBarry RountreeStephen Poole,2015,http://link.springer.com/article/10.1007/s00287-014-0850-0,Article
Social multimedia: highlighting opportunities for search and mining of multimedia data in social media applications,Multimedia Tools and Applications,,56,1,10.1007/s11042-010-0538-7,Mor Naaman,2012,http://link.springer.com/article/10.1007/s11042-010-0538-7,Article
Mapping quality requirements for pervasive mobile games,Requirements Engineering,,,,10.1007/s00766-015-0238-y,Luis ValenteBruno FeijóJulio Cesar Sampaio do Prado Leite,2015,http://link.springer.com/article/10.1007/s00766-015-0238-y,Article
User experience: does it matter in complex systems?,"Cognition, Technology & Work",,16,4,10.1007/s10111-013-0271-x,Paula SaviojaMarja LiinasuoHanna Koskinen,2014,http://link.springer.com/article/10.1007/s10111-013-0271-x,Article
Question answering at the cross-language evaluation forum 2003–2010,Language Resources and Evaluation,,46,2,10.1007/s10579-012-9177-0,Anselmo PeñasBernardo MagniniPamela FornerRichard SutcliffeÁlvaro RodrigoDanilo Giampiccolo,2012,http://link.springer.com/article/10.1007/s10579-012-9177-0,Article
Digital Competency and University Curricula. In Search of the Missing Link,International Journal of Educational Technology in Higher Education,,8,2,10.7238/rusc.v8i2.1070,Adriana Gewerc BarujelLourdes Montero MesaEulogio Pernas MoradoAlmudena Alonso Ferreiro,2011,http://link.springer.com/article/10.7238/rusc.v8i2.1070,Article
Engaging rational discrimination: exploring reasons for placing regulatory constraints on decision support systems,Ethics and Information Technology,,12,1,10.1007/s10676-009-9198-6,Oscar H. Gandy Jr.,2010,http://link.springer.com/article/10.1007/s10676-009-9198-6,Article
Microlearning mApp raises health competence: hybrid service design,Health and Technology,,5,1,10.1007/s12553-015-0095-1,Luuk P. A. SimonsFlorian FoersterPeter A. BruckLuvai MotiwallaCatholijn M. Jonker,2015,http://link.springer.com/article/10.1007/s12553-015-0095-1,Article
The role of feedback in e-assessments for engineering education,Education and Information Technologies,,19,1,10.1007/s10639-012-9200-5,Maria LimniouMichael Smith,2014,http://link.springer.com/article/10.1007/s10639-012-9200-5,Article
Accounting and Co-Constructing: The Development of a Standard for Electronic Health Records,Computer Supported Cooperative Work (CSCW),,20,6,10.1007/s10606-011-9141-3,Claus Bossen,2011,http://link.springer.com/article/10.1007/s10606-011-9141-3,Article
Ontology of information. Philosophical essays,Scientific and Technical Information Processing,,37,3,10.3103/S0147688210030019,A. V. Sokolov,2010,http://link.springer.com/article/10.3103/S0147688210030019,Article
Decision making in intelligent training-testing systems based on mixed diagnostic texts,Scientific and Technical Information Processing,,40,6,10.3103/S0147688213060087,A. E. YankovskayaM. E. Semenov,2013,http://link.springer.com/article/10.3103/S0147688213060087,Article
Automatic image semantic interpretation using social action and tagging data,Multimedia Tools and Applications,,51,1,10.1007/s11042-010-0650-8,Neela SawantJia LiJames Z. Wang,2011,http://link.springer.com/article/10.1007/s11042-010-0650-8,Article
arriba-lib: evaluation of an electronic library of decision aids in primary care physicians,BMC Medical Informatics and Decision Making,,12,1,10.1186/1472-6947-12-48,Oliver HirschHeidemarie KellerTanja KronesNorbert Donner-Banzhoff,2012,http://link.springer.com/article/10.1186/1472-6947-12-48,Article
Service-requester-centered service selection and ranking model for digital transportation ecosystems,Computing,,97,1,10.1007/s00607-013-0347-8,Hai DongFarookh Khadeer Hussain,2015,http://link.springer.com/article/10.1007/s00607-013-0347-8,Article
Spatial data infrastructures for the Amazon: a first step towards a global forest information system,Earth Science Informatics,,2,4,10.1007/s12145-009-0040-9,Frederico FonsecaClodoveu A. Davis Jr.Gilberto Câmara,2009,http://link.springer.com/article/10.1007/s12145-009-0040-9,Article
Knowing the Way. Managing Epistemic Topologies in Virtual Game Worlds,Computer Supported Cooperative Work (CSCW),,19,2,10.1007/s10606-010-9109-8,Ulrika BennerstedtJonas Ivarsson,2010,http://link.springer.com/article/10.1007/s10606-010-9109-8,Article
Artificial agents and the expanding ethical circle,AI & SOCIETY,,28,4,10.1007/s00146-012-0422-2,Steve Torrance,2013,http://link.springer.com/article/10.1007/s00146-012-0422-2,Article
Re-imaging and re-imagining the past after ‘memoricide’: intimate archives as inscribed memories of the missing,Archival Science,,16,1,10.1007/s10502-015-9258-0,Hariz Halilovich,2016,http://link.springer.com/article/10.1007/s10502-015-9258-0,Article
Value-based argumentation for policy decision analysis: methodology and an exploratory case study of a hydroelectric project in Québec,Annals of Operations Research,,236,1,10.1007/s10479-014-1774-4,Jasmin TremblayIrène Abi-Zeid,2016,http://link.springer.com/article/10.1007/s10479-014-1774-4,Article
Native America’s twenty-first-century right to know,Archival Science,,12,2,10.1007/s10502-011-9161-2,Allison Boucher Krebs,2012,http://link.springer.com/article/10.1007/s10502-011-9161-2,Article
A review of emerging trends in global PPP research: analysis and visualization,Scientometrics,,,,10.1007/s11192-016-1918-1,Jinbo SongHonglian ZhangWanli Dong,2016,http://link.springer.com/article/10.1007/s11192-016-1918-1,Article
Using augmented reality for supporting information exchange in teams from the security domain,Security Informatics,,4,1,10.1186/s13388-015-0025-9,Dragos DatcuStephan LukoschHeide LukoschMarina Cidota,2015,http://link.springer.com/article/10.1186/s13388-015-0025-9,Article
Technoeconomic analysis of the transition to a new technological phase,Scientific and Technical Information Processing,,38,3,10.3103/S0147688211030026,S. V. ElkinYu. P. Firstov,2011,http://link.springer.com/article/10.3103/S0147688211030026,Article
A data model for digital libraries,International Journal on Digital Libraries,,11,1,10.1007/s00799-011-0064-x,Carlo MeghiniNicolas SpyratosJitao Yang,2010,http://link.springer.com/article/10.1007/s00799-011-0064-x,Article
“A great and troubling beauty”: cognitive speculation and ubiquitous computing,Personal and Ubiquitous Computing,,18,4,10.1007/s00779-013-0677-8,Jeffrey BardzellShaowen Bardzell,2014,http://link.springer.com/article/10.1007/s00779-013-0677-8,Article
A multimedia system to produce and deliver video fragments on demand on parliamentary websites,Multimedia Tools and Applications,,,,10.1007/s11042-016-3306-5,Elena Sánchez-NielsenFrancisco Chávez-GutiérrezJavier Lorenzo-NavarroModesto Castrillón-Santana,2016,http://link.springer.com/article/10.1007/s11042-016-3306-5,Article
Electronic identity management in Sweden: governance of a market approach,Identity in the Information Society,,3,1,10.1007/s12394-010-0043-1,Åke Grönlund,2010,http://link.springer.com/article/10.1007/s12394-010-0043-1,Article
Understanding insiders: An analysis of risk-taking behavior,Information Systems Frontiers,,15,1,10.1007/s10796-010-9265-x,Fariborz FarahmandEugene H. Spafford,2013,http://link.springer.com/article/10.1007/s10796-010-9265-x,Article
Conditions for the Internationalisation of Higher Education: Between Inclusion and Exclusion in a Globalised World,International Journal of Educational Technology in Higher Education,,8,2,10.7238/rusc.v8i2.1072,Alma Arcelia Ramírez Iñiguez,2011,http://link.springer.com/article/10.7238/rusc.v8i2.1072,Article
The World Data System for universal and equitable access to scientific data,Scientific and Technical Information Processing,,42,4,10.3103/S0147688215040097,D. B. SarkisyanYu. G. GoncharovaA. N. GurovI. A. Markov,2015,http://link.springer.com/article/10.3103/S0147688215040097,Article
Sustainable water resources management: River basin modelling and decision support framework,Wuhan University Journal of Natural Sciences,,14,6,10.1007/s11859-009-0615-9,Zhengfu RaoBob PotterDavid WebbRalph Parkin,2009,http://link.springer.com/article/10.1007/s11859-009-0615-9,Article
Ethics of social networks for special needs users,Ethics and Information Technology,,15,4,10.1007/s10676-013-9334-1,Caroline RizzaÂngela Guimarães Pereira,2013,http://link.springer.com/article/10.1007/s10676-013-9334-1,Article
Culture of sedimentation in the human–technology interaction,AI & SOCIETY,,,,10.1007/s00146-015-0581-z,Arun Kumar Tripathi,2015,http://link.springer.com/article/10.1007/s00146-015-0581-z,Article
Controllable procedural map generation via multiobjective evolution,Genetic Programming and Evolvable Machines,,14,2,10.1007/s10710-012-9174-5,Julian TogeliusMike PreussNicola BeumeSimon WessingJohan HagelbäckGeorgios N. YannakakisCorrado Grappiolo,2013,http://link.springer.com/article/10.1007/s10710-012-9174-5,Article
Design and Hardware-in-the-Loop Integration of a UAV Microavionics System in a Manned–Unmanned Joint Airspace Flight Network Simulator,Journal of Intelligent and Robotic Systems,,54,1 - 3,10.1007/s10846-008-9270-1,Serdar AtesIsmail BayezitGokhan Inalhan,2009,http://link.springer.com/article/10.1007/s10846-008-9270-1,Article
"Biologically-inspired analysis in the real world: computing, informatics, and ecologies of use",Security Informatics,,1,1,10.1186/2190-8532-1-17,Laura A McNamara,2012,http://link.springer.com/article/10.1186/2190-8532-1-17,Article
From product-centric to customer-centric services in a financial institution – exploring the organizational challenges of the transition process,Information Systems Frontiers,,,,10.1007/s10796-015-9606-x,Olivera MarjanovicVijaya Murthy,2015,http://link.springer.com/article/10.1007/s10796-015-9606-x,Article
Automatic Battery Replacement System for UAVs: Analysis and Design,Journal of Intelligent & Robotic Systems,,65,1 - 4,10.1007/s10846-011-9616-y,Koji A. O. SuzukiPaulo Kemper FilhoJames R. Morrison,2012,http://link.springer.com/article/10.1007/s10846-011-9616-y,Article
Policy-based mobility in heterogeneous networks,Journal of Ambient Intelligence and Humanized Computing,,4,3,10.1007/s12652-011-0103-x,Ping ZhangArjan DurresiLeonard Barolli,2013,http://link.springer.com/article/10.1007/s12652-011-0103-x,Article
Enhancing and evaluating users’ social experience with a mobile phone guide applied to cultural heritage,Personal and Ubiquitous Computing,,15,6,10.1007/s00779-010-0344-2,Youngjung SuhChoonsung ShinWoontack WooSteven DowBlair MacIntyre,2011,http://link.springer.com/article/10.1007/s00779-010-0344-2,Article
"Narrative, meaning, interpretation: an enactivist approach",Phenomenology and the Cognitive Sciences,,11,3,10.1007/s11097-011-9216-0,Marco Caracciolo,2012,http://link.springer.com/article/10.1007/s11097-011-9216-0,Article
Innovation Contests,Business & Information Systems Engineering,,3,2,10.1007/s12599-011-0147-7,Dipl.-Kfm. Jörg B. A. HallerDr. Angelika C. BullingerProf. Dr. Kathrin M. Möslein,2011,http://link.springer.com/article/10.1007/s12599-011-0147-7,Article
Rhythms and plasticity: television temporality at home,Personal and Ubiquitous Computing,,14,7,10.1007/s00779-009-0280-1,Lilly IraniRobin JeffriesAndrea Knight,2010,http://link.springer.com/article/10.1007/s00779-009-0280-1,Article
Mapping ICT knowledge infrastructure in South Asia,Scientometrics,,99,1,10.1007/s11192-013-1099-0,Bobby SwarGohar Feroz Khan,2014,http://link.springer.com/article/10.1007/s11192-013-1099-0,Article
On the modern problems and challenges of information security international scientific-practical conference,Scientific and Technical Information Processing,,41,3,10.3103/S0147688214030022,V. V. Arutyunov,2014,http://link.springer.com/article/10.3103/S0147688214030022,Article
Governing the local networks in Indian agrarian societies—an MAS perspective,Computational and Mathematical Organization Theory,,19,2,10.1007/s10588-013-9152-3,A. UdayaadithyaAnjula Gurtoo,2013,http://link.springer.com/article/10.1007/s10588-013-9152-3,Article
ICT ethics bibliography 2012–2014: a select list of recent books,Ethics and Information Technology,,15,3,10.1007/s10676-013-9327-0,Herman T. Tavani,2013,http://link.springer.com/article/10.1007/s10676-013-9327-0,Article
Buttressing volatile desktop grids with cloud resources within a reconfigurable environment service for workflow orchestration,Journal of Cloud Computing,,3,1,10.1186/2192-113X-3-1,Stephen C WinterChristopher J ReynoldsTamas KissGabor Z TerstyanszkyPamela GreenwellSharron McEldowneySandor AcsPeter Kacsuk,2014,http://link.springer.com/article/10.1186/2192-113X-3-1,Article
Structure and prominence in Twitter networks centered on contentious politics,Social Network Analysis and Mining,,3,4,10.1007/s13278-013-0134-8,Lucas A. OverbeyBenjamin GrecoChristopher ParibelloTerresa Jackson,2013,http://link.springer.com/article/10.1007/s13278-013-0134-8,Article
"Historians, archivists, and social activism: benefits and costs",Archival Science,,13,2 - 3,10.1007/s10502-012-9187-0,Sonia YacoBeatriz Betancourt Hardy,2013,http://link.springer.com/article/10.1007/s10502-012-9187-0,Article
Getting the blend right in new learning environments: A complementary approach to online discussions,Education and Information Technologies,,15,2,10.1007/s10639-009-9100-5,Philippa Gerbic,2010,http://link.springer.com/article/10.1007/s10639-009-9100-5,Article
Situated and embodied interactions for symbiotic and inclusive societies,AI & SOCIETY,,26,3,10.1007/s00146-010-0302-6,Osamu KataiToyoaki NishidaRenate Fruchter,2011,http://link.springer.com/article/10.1007/s00146-010-0302-6,Article
Model interoperability in building information modelling,Software & Systems Modeling,,11,1,10.1007/s10270-010-0178-4,Jim SteelRobin DrogemullerBianca Toth,2012,http://link.springer.com/article/10.1007/s10270-010-0178-4,Article
A philosophical and evolutionary approach to cyber-bullying: social networks and the disruption of sub-moralities,Ethics and Information Technology,,15,4,10.1007/s10676-013-9324-3,Tommaso BertolottiLorenzo Magnani,2013,http://link.springer.com/article/10.1007/s10676-013-9324-3,Article
Financial and technological bases as central factors in library informatization,Scientific and Technical Information Processing,,39,1,10.3103/S014768821201008X,L. I. Aleshin,2012,http://link.springer.com/article/10.3103/S014768821201008X,Article
"Returning students’ right to access, choice and notice: a proposed code of ethics for instructors using Turnitin",Ethics and Information Technology,,13,4,10.1007/s10676-011-9277-3,Bastiaan Vanacker,2011,http://link.springer.com/article/10.1007/s10676-011-9277-3,Article
ICT ethics bibliography 2009–2011: a select list of recent books,Ethics and Information Technology,,12,4,10.1007/s10676-010-9245-3,Herman T. Tavani,2010,http://link.springer.com/article/10.1007/s10676-010-9245-3,Article
Day-to-day performance management in a small regional airport and management of change for safer operations,"Cognition, Technology & Work",,17,2,10.1007/s10111-014-0298-7,M. C. LevaD. Del SordoF. Mattei,2015,http://link.springer.com/article/10.1007/s10111-014-0298-7,Article
Macroproblems of the information security of man and society,Scientific and Technical Information Processing,,40,2,10.3103/S0147688213020093,O. V. Siountiourenko,2013,http://link.springer.com/article/10.3103/S0147688213020093,Article
The stability of co-authorship structures,Scientometrics,,106,1,10.1007/s11192-015-1790-4,Marjan CugmasAnuška FerligojLuka Kronegger,2016,http://link.springer.com/article/10.1007/s11192-015-1790-4,Article
Legal safeguards for privacy and data protection in ambient intelligence,Personal and Ubiquitous Computing,,13,6,10.1007/s00779-008-0211-6,Paul De HertSerge GutwirthAnna MoscibrodaDavid WrightGloria González Fuster,2009,http://link.springer.com/article/10.1007/s00779-008-0211-6,Article
"A model for consumer knowledge contribution behavior: the roles of host firm management practices, technology effectiveness, and social capital",Information Technology and Management,,15,4,10.1007/s10799-014-0199-8,Haixin LiuJing ZhangRenjing LiuGuiquan Li,2014,http://link.springer.com/article/10.1007/s10799-014-0199-8,Article
"Just another journal? No, a different one!",Health and Technology,,1,1,10.1007/s12553-010-0001-9,Lodewijk BosLuis Kun,2011,http://link.springer.com/article/10.1007/s12553-010-0001-9,Article
Interview with Peter Tauber on “Internet Anonymity: Human Right or Protection for Criminals?”,Business & Information Systems Engineering,,4,2,10.1007/s12599-012-0204-x,Prof. Dr. Roman Beck,2012,http://link.springer.com/article/10.1007/s12599-012-0204-x,Article
Advances in multi-agency disaster management: Key elements in disaster research,Information Systems Frontiers,,12,1,10.1007/s10796-009-9176-x,Marijn JanssenJinKyu LeeNitesh BharosaAnthony Cresswell,2010,http://link.springer.com/article/10.1007/s10796-009-9176-x,Article
University Lecturers’ Conceptions of Ethics and Citizenship Education in the European Higher Education Area: a Case Study,International Journal of Educational Technology in Higher Education,,11,3,10.7238/rusc.v11i3.1778,Francisco Esteban BaraTeodor Mellen VinagreMaria Rosa Buxarrais Estrada,2014,http://link.springer.com/article/10.7238/rusc.v11i3.1778,Article
Building theory from consumer reactions to RFID: discovering Connective Proximity,Ethics and Information Technology,,,,10.1007/s10676-016-9388-y,Anna MargulisHarold BoeckYgal BendavidFabien Durif,2016,http://link.springer.com/article/10.1007/s10676-016-9388-y,Article
On preventive blood pressure self-monitoring at home,"Cognition, Technology & Work",,18,2,10.1007/s10111-015-0358-7,Nervo VerdezotoErik Grönvall,2016,http://link.springer.com/article/10.1007/s10111-015-0358-7,Article
Von der Revolution zur Partizipation: Social Media und der demokratische Willensbildungsprozess,WIRTSCHAFTSINFORMATIK,,53,4,10.1007/s11576-011-0279-x,Prof. Dr. Hans Ulrich Buhl,2011,http://link.springer.com/article/10.1007/s11576-011-0279-x,Article
"Introduction to the special issue on electronic government: investment in communities, firms, technologies and infrastructure",Electronic Commerce Research,,15,3,10.1007/s10660-015-9195-2,Christopher L. TucciDiane Poulin,2015,http://link.springer.com/article/10.1007/s10660-015-9195-2,Article
Ambient Assisted Living for ageing well – an overview,e & i Elektrotechnik und Informationstechnik,,127,7 - 8,10.1007/s00502-010-0747-9,A. N. BelbachirM. DrobicsW. Marschitz,2010,http://link.springer.com/article/10.1007/s00502-010-0747-9,Article
Rethinking universal accessibility: a broader approach considering the digital gap,Universal Access in the Information Society,,,,10.1007/s10209-015-0416-1,Julio AbascalSimone D. J. BarbosaColette NicollePanayiotis Zaphiris,2015,http://link.springer.com/article/10.1007/s10209-015-0416-1,Article
eHealth integration and interoperability issues: towards a solution through enterprise architecture,Health Information Science and Systems,,3,1,10.1186/s13755-015-0009-7,Olugbenga A AdenugaRay M KekwaletsweAlfred Coleman,2015,http://link.springer.com/article/10.1186/s13755-015-0009-7,Article
Program understandability: feature analysis of modern approaches,Cybernetics and Systems Analysis,,48,2,10.1007/s10559-012-9407-x,L. P. Babenko,2012,http://link.springer.com/article/10.1007/s10559-012-9407-x,Article
The Impact of Copyright on the Enjoyment of Right to Science and Culture,Publishing Research Quarterly,,30,4,10.1007/s12109-014-9382-3,Jens Bammel,2014,http://link.springer.com/article/10.1007/s12109-014-9382-3,Article
A scenario analysis of the future residential requirements for people with mental health problems in Eindhoven,BMC Medical Informatics and Decision Making,,11,1,10.1186/1472-6947-11-1,Joyce JPA BierboomsInge MB BongersHans AM van Oers,2011,http://link.springer.com/article/10.1186/1472-6947-11-1,Article
The banality of simulated evil: designing ethical gameplay,Ethics and Information Technology,,11,3,10.1007/s10676-009-9199-5,Miguel Sicart,2009,http://link.springer.com/article/10.1007/s10676-009-9199-5,Article
Toward a Unified Theory of Digital Games,The Computer Games Journal,,4,1 - 2,10.1007/s40869-015-0007-7,Paul RalphKafui Monu,2015,http://link.springer.com/article/10.1007/s40869-015-0007-7,Article
Genre systems and “keeping track” in everyday life,Archival Science,,12,4,10.1007/s10502-012-9174-5,Pamela J. McKenzieElisabeth Davies,2012,http://link.springer.com/article/10.1007/s10502-012-9174-5,Article
Ethics and aesthetics of technologies,AI & SOCIETY,,25,1,10.1007/s00146-010-0265-7,Arun Kumar Tripathi,2010,http://link.springer.com/article/10.1007/s00146-010-0265-7,Article
Building high assurance human-centric decision systems,Automated Software Engineering,,22,2,10.1007/s10515-014-0157-z,Constance L. HeitmeyerMarc PickettElizabeth I. LeonardMyla M. ArcherIndrakshi RayDavid W. AhaJ. Gregory Trafton,2015,http://link.springer.com/article/10.1007/s10515-014-0157-z,Article
Green supply chain management in local and multinational high-tech companies located in Brazil,The International Journal of Advanced Manufacturing Technology,,68,1 - 4,10.1007/s00170-013-4945-6,Ana Beatriz Lopes de Sousa JabbourFernanda de Souza AzevedoAriana Fernandes ArantesCharbel José Chiappetta Jabbour,2013,http://link.springer.com/article/10.1007/s00170-013-4945-6,Article
The role of ICT in addressing the challenges of age-related falls: a research agenda based on a systematic mapping of the literature,Personal and Ubiquitous Computing,,19,3 - 4,10.1007/s00779-015-0852-1,Babak A. FarshchianYngve Dahl,2015,http://link.springer.com/article/10.1007/s00779-015-0852-1,Article
Scientific book literature in a digital society,Scientific and Technical Information Processing,,40,4,10.3103/S0147688213040084,V. S. Egorov,2013,http://link.springer.com/article/10.3103/S0147688213040084,Article
Data-Oriented Method to Big Data Standard System Creation: A Case of Chinese Financial Industry,Annals of Data Science,,1,3 - 4,10.1007/s40745-014-0024-6,Shuang YangJianping LiJinjin CaiKun GuoXinxin GaoFan Meng,2014,http://link.springer.com/article/10.1007/s40745-014-0024-6,Article
From the editors: Collaboration and the formation of new knowledge artifacts,International Journal of Computer-Supported Collaborative Learning,,10,1,10.1007/s11412-015-9211-5,Sten LudvigsenGerry StahlNancy LawUlrike Cress,2015,http://link.springer.com/article/10.1007/s11412-015-9211-5,Article
Accelerating the growth of u-Healthcare in Korea: Conceptualizing and classifying from service perspective,Journal of Service Science,,1,1,10.1007/s12927-009-0004-0,Si-yeon KimYoun-Tae Lee,2009,http://link.springer.com/article/10.1007/s12927-009-0004-0,Article
A network analysis of interdisciplinary research relationships: the Korean government’s R&D grant program,Scientometrics,,83,1,10.1007/s11192-010-0157-0,Chang Hoon YangHan Woo ParkJungeun Heo,2010,http://link.springer.com/article/10.1007/s11192-010-0157-0,Article
Dynamic Microsimulation Modeling for Policy Support: An Application to Belgium and possibilities for Japan,The Review of Socionetwork Strategies,,6,2,10.1007/s12626-012-0026-9,Gijs DekkersSeiichi InagakiRaphaël Desmet,2012,http://link.springer.com/article/10.1007/s12626-012-0026-9,Article
I’d Like to Buy the World a Coke: One Culture Via Apps and Global Advertising,Publishing Research Quarterly,,30,3,10.1007/s12109-014-9371-6,Thomas H. P. Gould,2014,http://link.springer.com/article/10.1007/s12109-014-9371-6,Article
"The student, the private and the professional role: Students’ social media use",Education and Information Technologies,,,,10.1007/s10639-015-9403-7,Pernilla JosefssonStefan HrastinskiDaniel PargmanTeresa C. Pargman,2015,http://link.springer.com/article/10.1007/s10639-015-9403-7,Article
IT infrastructure capabilities and IT project success: a development team perspective,Information Technology and Management,,11,3,10.1007/s10799-010-0072-3,Xiaobo XuWeiyong ZhangReza Barkhi,2010,http://link.springer.com/article/10.1007/s10799-010-0072-3,Article
"Latin American scientific output in Public Health: combined analysis using bibliometric, socioeconomic and health indicators",Scientometrics,,102,1,10.1007/s11192-014-1349-9,Zaida Chinchilla-RodríguezGrisel Zacca-GonzálezBenjamín Vargas-QuesadaFélix Moya-Anegón,2015,http://link.springer.com/article/10.1007/s11192-014-1349-9,Article
"Informational management: Its place and role in supporting science, engineering, and manufacturing",Scientific and Technical Information Processing,,36,4,10.3103/S014768820904008X,,2009,http://link.springer.com/article/10.3103/S014768820904008X,Article
Clinical measurement and verification of elderly LOHAS index in an elder suited TV-based home living space,Journal of Ambient Intelligence and Humanized Computing,,3,1,10.1007/s12652-011-0090-y,Meng-Hsuan FuKuan-Rong LeeMing-Chyi PaiYau-Hwang Kuo,2012,http://link.springer.com/article/10.1007/s12652-011-0090-y,Article
The enactment of risk categories: The role of information systems in organizing and re-organizing risk management practices in the energy industry,Information Systems Frontiers,,14,2,10.1007/s10796-009-9223-7,Susan ScottNicholas Perry,2012,http://link.springer.com/article/10.1007/s10796-009-9223-7,Article
Developing a smart environment for crisis management training,Journal of Ambient Intelligence and Humanized Computing,,4,5,10.1007/s12652-012-0124-0,L. BaconL. MacKinnonA. CestaG. Cortellessa,2013,http://link.springer.com/article/10.1007/s12652-012-0124-0,Article
Higher Education Governance Reform in Practice. Matching Institutional Implementation Practices and Policies,International Journal of Educational Technology in Higher Education,,9,2,10.7238/rusc.v9i2.1415,Endika Bengoetxea Castro,2012,http://link.springer.com/article/10.7238/rusc.v9i2.1415,Article
Willingness to share personal health record data for care improvement and public health: a survey of experienced personal health record users,BMC Medical Informatics and Decision Making,,12,1,10.1186/1472-6947-12-39,Elissa R WeitzmanSkyler KelemenLiljana KaciKenneth D Mandl,2012,http://link.springer.com/article/10.1186/1472-6947-12-39,Article
